,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
158,La Mer,Max Huber,False,False,1994,"Skincare, Makeup, Bath & Body",50,0,0.0,False
159,Lancôme,Armand Petitjean,False,False,1935,"Makeup, Skincare, Fragrance, Bath & Body",96,0,0.0,False
160,LANEIGE,Suh Sung-whan,False,True,1945,"Skincare, Makeup",27,0,0.0,False
161,LASHFOOD,Faith Kim,True,True,2007,"Skincare, Makeup",3,3,1.0,True
162,Laura Mercier,Laura Mercier,True,False,1996,"Makeup, Skincare, Bath & Body, Tools & Brushes",59,0,0.0,False
163,LAWLESS,Annie Lawless,True,False,2017,"Skincare, Makeup",19,19,1.0,True
164,LightStim,Joni Marchese,True,False,2002,"Skincare, Tools & Brushes",3,0,0.0,False
165,lilah b.,Cheryl Yannotti Foland,True,False,2015,"Makeup, Skincare, Bath & Body",18,17,0.94,True
166,Lilly Lashes,Lilly Ghalich,True,True,2013,"Makeup, Tools & Brushes",11,0,0.0,False
167,Living Proof,Jon Flint and Robert Langer,False,False,2005,Hair,70,0,0.0,False
168,Lord Jones,Robert Rosenheck,False,False,2017,"Skincare, Bath & Body, Makeup, Hair",10,10,1.0,True
169,LXMI,Leila Janah,True,True,2015,Skincare,2,0,0.0,False
170,LYS Beauty,Tisha Thompson,True,True,2019,"Skincare, Makeup",9,9,1.0,True
171,Maison Louis Marie,Marie du Petit Thouars and Matthew Berkson,True,False,1792,"Fragrance, Bath & Body",37,18,0.49,True
172,Maison Margiela,Martin Margiela,False,False,1988,"Fragrance, Bath & Body",35,0,0.0,False
173,MAKE UP FOR EVER,Dany Sanz,True,False,1984,"Makeup, Skincare,Tools & Brushes",85,0,0.0,False
174,MAKEUP BY MARIO,Mario Dedivanovic,False,False,2017,"Makeup, Skincare,Tools & Brushes",34,0,0.0,False
175,Marc Jacobs Beauty,Marc Jacobs,False,False,1984,"Makeup, Skincare, Bath & Body, Tools & Brushes",26,0,0.0,False
176,Marc Jacobs Fragrances,Marc Jacobs and Robert Duffy,False,False,1985,Fragrance,28,0,0.0,False
177,Mario Badescu,Mario Badescu,False,False,1967,"Skincare, Makeup, Bath & Body",43,0,0.0,False
178,maude,Éva Goicochea,True,False,2018,Bath & Body,10,8,0.8,True
179,Melanin Haircare,Whitney White and Taffeta White,True,True,2015,"Hair, Bath & Body",4,0,0.0,False
180,Melt Cosmetics,Lora Arellano and Dana Bomar,True,False,2012,Makeup,27,0,0.0,False
181,MERIT,Katherine Power,True,False,2021,"Makeup, Skincare,Tools & Brushes",9,8,0.89,True
182,Milk Makeup,"Zanna Roberts Rassi, Mazdack Rassi, Georgie Greville, and Dianna Ruth",True,False,2014,"Makeup, Skincare, Bath & Body",59,52,0.88,True
183,Mizani,Zaino Mizani,False,False,1991,"Hair, Bath & Body",26,0,0.0,False
184,Montblanc,August Eberstein,False,False,1908,"Fragrance, Bath & Body",7,0,0.0,False
185,Moon Juice,Amanda Chantal Bacon,True,False,2011,"Skincare, Bath & Body, Hair",21,9,0.43,True
186,Moroccanoil,Carmen Tal,True,False,2007,"Skincare, Hair, Tools & Brushes, Bath & Body, Makeup, Fragrance",91,0,0.0,False
187,Mount Lai,Stephanie Zheng,True,True,2017,"Skincare, Tools & Brushes",10,0,0.0,False
188,Mugler,Thierry Mugler,False,False,1973,Fragrance,9,0,0.0,False
189,Murad,Howard Murad,False,True,1989,"Skincare, Bath & Body, Makeup",49,0,0.0,False
190,NAILS INC.,Thea Green and MT Carney,True,False,1999,"Makeup, Tools & Brushes",18,0,0.0,False
191,Narciso Rodriguez,"Narciso Rodriguez, Christine Nagel, and Francis Kurkdjian ",True,False,2003,Fragrance,5,0,0.0,False
192,NARS,François Nars,False,False,1994,"Makeup, Skincare, Bath & Body, Tools & Brushes",63,0,0.0,False
193,Natasha Denona,Natasha Denona,True,False,2000,"Makeup, Bath & Body",57,0,0.0,False
194,Naturally Serious,June Jacobs,True,False,2018,Skincare,10,10,1.0,True
195,Nécessaire,Randi Christiansen,True,False,2017,"Skincare, Bath & Body",8,8,1.0,True
196,NEST New York,Laura Slatkin,True,False,2005,"Fragrance, Bath & Body",83,0,0.0,False
197,NUDESTIX,Jenny Frankel and Taylor Frankel,True,False,2013,"Makeup, Skincare, Bath & Body, Tools & Brushes",31,0,0.0,False
198,The Nue Co.,Jules Miller,True,False,2017,"Skincare, Bath & Body, Hair, Fragrance",9,9,1.0,True
199,NuFACE,Tera Peterson,True,False,2005,"Skincare, Tools & Brushes, Bath & Body, Makeup",14,0,0.0,False
200,Nurse Jamie,Jamie Sue Sherrill,True,False,2008,"Skincare, Tools & Brushes",4,0,0.0,False
201,Olaplex,Dr. Eric Pressly and Dr. Craig Hawker,False,False,2014,Hair,11,11,1.0,True
202,OLEHENRIKSEN,Ole Henriksen,False,False,1975,"Skincare, Makeup",32,22,0.69,True
203,Omorovicza,Margaret De Heinrich De Omorovicza,True,False,2006,Makeup,1,1,1.0,True
204,ONE/SIZE by Patrick Starrr,Patrick Starrr,False,True,2020,"Makeup, Skincare",23,0,0.0,False
205,The Ordinary,Jo Ingram,True,False,2012,"Skincare, Makeup, Hair",42,0,0.0,False
206,Oribe,Oribe Canales,False,False,2008,"Hair, Skincare, Bath & Body",77,0,0.0,False
207,The Original MakeUp Eraser,Elexsis McCarthy,True,False,2013,"Makeup, Skincare,Tools & Brushes",7,0,0.0,False
208,Origins,Leonard Lauder,False,False,1990,"Skincare, Bath & Body, Makeup",43,38,0.88,True
209,OTHERLAND,Abigail Cook Stone,True,False,2017,"Fragrance, Bath & Body",22,0,0.0,False
210,OTZI,Helmut and Erika Simon,True,False,1991,Skincare,5,5,1.0,True
211,OUAI,Jen Atkin,True,False,2016,"Hair, Skincare, Bath & Body, Fragrance",49,0,0.0,False
212,Overose,Matthieu Belhandouz,False,False,2016,"Fragrance, Bath & Body",12,0,0.0,False
213,Paco Rabanne,Paco Rabanne,False,False,1966,"Fragrance, Bath & Body",8,0,0.0,False
214,PAT McGRATH LABS,Pat McGrath,True,True,2006,"Makeup, Skincare,Tools & Brushes",41,0,0.0,False
215,PATRICK TA,Rima Minasyan and Patick Ta,True,False,2019,"Makeup, Skincare, Bath & Body, Tools & Brushes",27,0,0.0,False
216,PATTERN by Tracee Ellis Ross,Tracee Ellis Ross,True,True,2019,"Hair, Tools & Brushes",40,0,0.0,False
217,Paula's Choice,Paula Begoun,True,False,1995,"Skincare, Bath & Body, Makeup",31,0,0.0,False
218,Peace Out,Enrico Frezza,False,False,2017,Skincare,13,0,0.0,False
219,Peter Thomas Roth,Peter Thomas Roth,False,False,1993,"Skincare, Bath & Body, Makeup",58,0,0.0,False
220,philosophy,Cristina Carlino,True,False,1996,"Skincare, Bath & Body, Hair, Fragrance",28,0,0.0,False
221,The Phluid Project,Rob Smith,False,False,2018,Fragrance,8,0,0.0,False
222,PHLUR,Eric Korman,False,False,2014,Fragrance,2,2,1.0,True
223,Playa,Shelby Wild,True,False,2016,Hair,14,11,0.79,True
224,PMD,Philippe d'Offay,False,False,1998,"Skincare, Tools & Brushes",9,0,0.0,False
225,Prada,Mario Prada,False,False,1913,Fragrance,15,0,0.0,False
226,Prima,Christopher Gavigan,False,False,2019,"Skincare, Bath & Body",7,7,1.0,True
227,Pureology,Jim Markham,False,False,2001,Hair,41,0,0.0,False
228,Qhemet Biologics,Felis Butler,True,True,2004,Hair,10,10,1.0,True
229,Rahua,Fabian Lliguin and Anna Ayers,True,False,2008,Hair,2,2,1.0,True
230,Ralph Lauren,Ralph Lauren,False,False,1967,"Fragrance, Bath & Body",28,0,0.0,False
231,RANAVAT,Michelle Ranavat,True,True,2017,"Hair, Skincare",8,8,1.0,True
232,Rare Beauty by Selena Gomez,Selena Gomez,True,True,2020,"Makeup, Skincare,Tools & Brushes",35,0,0.0,False
233,REFY,Jenna Meek and Jess Hunt,True,False,2018,"Makeup, Tools & Brushes",8,0,0.0,False
234,REN Clean Skincare,Robert Calcraft and Antony Buck,False,False,2000,"Skincare, Bath & Body, Makeup",38,30,0.79,True
235,Reverie,Arvind Pani and Derek Hsue,True,True,2009,Hair,8,8,1.0,True
236,rms beauty,Rose-Marie Swift,True,False,2009,"Makeup, Skincare",20,18,0.9,True
237,ROSE INC,Rosie Huntington-Whiteley,True,False,2018,"Makeup, Skincare,Tools & Brushes",14,14,1.0,True
238,ROSE Ingleton MD,Dr. Rose Ingleton,True,True,2019,Skincare,5,5,1.0,True
