Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Freeman
								",Donald S. Freeman,FALSE,FALSE,1927,"Skin Care ,Gifts ,Men",24
"
										fresh
								",Lev Glazman and Alina Roytberg,TRUE,FALSE,1991,"Skin Care ,Bath & Body ,Makeup ,Gifts ,Fragrance",60
"
										Fromm
								",Robert Green,FALSE,FALSE,1904,"Tools & Brushes ,Hair",10
"
										Fur
								",Lillian Tung and Laura Schubert,TRUE,TRUE,2016,"Bath & Body ,Tools & Brushes ,Skin Care",11
Ga.Ma Italy Professional,Mario Gardini,FALSE,FALSE,1969,"Skin Care ,Makeup ,Bath & Body ,Gifts",20
"
										Garnier
								",Ann Garnier,TRUE,FALSE,1904,"Tools & Brushes ,Hair ,Gifts",2
"
										Ghd
								","Robert Powls, Martin Penny, and Gary Douglas",FALSE,FALSE,2001,"Hair ,Tools & Brushes ,Gifts",19
"
										Gigi
								",Gigi Goldman,TRUE,FALSE,2015,"Bath & Body ,Gifts ,Tools & Brushes",21
"
										Gillette
								",King C. Gillette,FALSE,FALSE,1901,"Bath & Body ,Tools & Brushes ,Skin Care ,Men",27
"
										GIMME beauty
								", Mark Durham,FALSE,FALSE,2006,"Tools & Brushes ,Hair",36
"
										GLAMGLOW
								",Shannon Dellimore and Glenn Dellimore,TRUE,FALSE,2010,"Skin Care ,Gifts ,Makeup",31
"
										Glamnetic
								",Ann McFerran,TRUE,TRUE,2019,"Nails ,Makeup",28
"
										Go Smile
								",Rose Wood,TRUE,FALSE,2002,,9
"
										Gold 'N Hot
								",Gerald J Rubin,FALSE,FALSE,1968,"Tools & Brushes ,Hair",3
"
										Goli Nutrition
								",Michael Bitensky,FALSE,FALSE,2019,Gifts,4
"
										Got 2b
								",Robert Reynolds,FALSE,FALSE,2001,"Hair Color ,Styling Products",4
"
										Grace Eleyae
								",Grace Eleyae,TRUE,TRUE,2015,"Bath & Body ,Tools & Brushes ,Hair",3
"
										Grande Cosmetics
								",Alicia Grande,TRUE,FALSE,2008,"Makeup ,Hair ,Gifts ,Skin Care ,Tools & Brushes ,Bath & Body",28
"
										Groovi Beauty
								",Bradley Berkley,FALSE,FALSE,2005,,11
"
										Grow Gorgeous
								",Brandon Truaxe,FALSE,TRUE,2012,"Hair ,Gifts",12
"
										Gucci
								",Guccio Gucci,FALSE,FALSE,1921,"Fragrance ,Men ,Gifts",21
"
										Guerlain
								",Pierre François Pascal Guerlain,FALSE,FALSE,1828,,1
HAIRtamin,Leyla Milani Khoshbin,TRUE,TRUE,2016,"Skin Care ,Bath & Body ,Hair ,Gifts",10
"
										HALLY
								",Kathryn Winokur,TRUE,FALSE,2020,"Trend Color, Hair Color & Bleach",1
"
										HAN Skincare Cosmetics
								",Susan Wong,TRUE,TRUE,2015,"Face ,Lips ,Eyes",6
"
										Hanskin
								",Susan Wong,TRUE,TRUE,2016,"Skin Care ,Gifts",17
"
										Happy Dance
								",Kristen Bell,TRUE,FALSE,2017,"Bath & Body ,Skin Care ,Gifts",7
"
										Hask
								",Al Kelekci,FALSE,FALSE,1946,"Shampoo & Conditioner ,Treatment ,Styling Products",35
"
										Hello
								",Craig Dubitsky,FALSE,FALSE,2013,"Bath & Body ,Skin Care",25
"
										Hempz
								",Rick Hough,FALSE,FALSE,1998,"Bath & Body ,Skin Care ,Hair ,Gifts ,Fragrance ,Men",115
"
										Heritage Store
								",Tom Johnson,FALSE,FALSE,1969,"Skin Care ,Bath & Body",13
"
										Hero Cosmetics
								",Ju Rhyu,TRUE,TRUE,2012,"Skin Care ,Bath & Body",9
"
										Hey Honey
								",Katerina Yoffe Larden,TRUE,TRUE,2011,"Skin Care ,Makeup ,Bath & Body",16
"
										Holika Holika
								",Lee Byung-chul,FALSE,TRUE,2010,"Makeup ,Skin Care ,Gifts ,Bath & Body",29
"
										Hollywood Fashion Secrets
								",Jane Dailey,TRUE,TRUE,2001,"Bath & Body ,ULTA Collection",19
"
										Homebody
								",Rebecca Grammer-Ybarra,TRUE,FALSE,2020,"Bath & Body ,Gifts",19
"
										HomeWorx
								",Harry Slatkin,FALSE,FALSE,2016,,7
"
										Honest Beauty
								","	Jessica Alba, Brian Lee, Sean Kane, and Christopher Gavigan",TRUE,TRUE,2011,"Skin Care ,Makeup ,Gifts ,Tools & Brushes ,Nails",50
"
										HOURGLASS
								",Carisa Janes,TRUE,FALSE,2004,"Makeup, Tools & Brushes, Gifts,Skin Care",81
"
										House of Lashes
								",Jenn Chiba,TRUE,TRUE,2021,,7
"
										Hugo Boss
								","
										Hugo Boss
								",FALSE,FALSE,1924,,6
"
										Hustle Butter
								",Richie Bulldog,FALSE,FALSE,2012,"Bath & Body ,Men ,Gifts",5
"
										Hynt Beauty
								",Meryl and Craig Marshall,TRUE,FALSE,2014,"Makeup ,Skin Care ,Gifts",9
I Dew Care,Dino Ha,FALSE,TRUE,2019,"Skin Care ,Tools & Brushes ,Hair ,Gifts ,Makeup ,Bath & Body",20
